ORDEN,SIGLA,ASIGNATURA,SEMESTRE,SIGLA.1,ASIGNATURA.1,SEMESTRE.1,OBSERVACIÓN
4.0,ANT100,ANTROPOLOGÍA CULTURAL,PRIMER SEMESTRE,ANT 181,ANTROPOLOGÍA,PRIMER SEMESTRE,HOMOLOGACIÓN
6.0,BIO100,BIOPSICOLOGIA,PRIMER SEMESTRE,BIO 141,BIOPSICOLOGÍA,PRIMER SEMESTRE,HOMOLOGACIÓN
3.0,CSO101,SOCIOLOGÍA I,PRIMER SEMESTRE,CSO 121,SOCIOLOGÍA GENERAL,PRIMER SEMESTRE,HOMOLOGACIÓN
7.0,DEP112,ESTRATEGIAS DE APRENDIZAJE,PRIMER SEMESTRE,INV 131,ESTRATEGIAS DE APRENDIZAJE,PRIMER SEMESTRE,HOMOLOGACIÓN
2.0,EST121,ESTADÍSTICA I,PRIMER SEMESTRE,EST 351,ESTADÍSTICA APLICADA A LA PSICOLOGÍA I,TERCER SEMESTRE,HOMOLOGACIÓN
1.0,FIL101,FILOSOFÍA,PRIMER SEMESTRE,FIL 161,FILOSOFÍA,PRIMER SEMESTRE,HOMOLOGACIÓN
5.0,PSI101,PSICOLOGÍA I,PRIMER SEMESTRE,PSI 105,PSICOLOGÍA I,PRIMER SEMESTRE,HOMOLOGACIÓN
4.0,ANT150,ANTROPOLOGIA CULTURAL BOLIVIANA,SEGUNDO SEMESTRE,,,,ELIMINADA
6.0,BIO150,PSICOFISIOLOGÍA,SEGUNDO SEMESTRE,BIO 242,PSICOFISIOLOGÍA,SEGUNDO SEMESTRE,HOMOLOGACIÓN
3.0,CSO150,SOCIOLOGÍA II,SEGUNDO SEMESTRE,CSO 222,FORMACIÓN SOCIAL BOLIVIANA,SEGUNDO SEMESTRE,HOMOLOGACIÓN
2.0,EST152,ESTADÍSTICA II,SEGUNDO SEMESTRE,EST 452,ESTADÍSTICA APLICADA A LA PSICOLOGÍA II,CUARTO SEMESTRE,HOMOLOGACIÓN
1.0,FIL150,EPISTEMOLOGIA,SEGUNDO SEMESTRE,FIL 262,EPISTEMOLOGÍA,SEGUNDO SEMESTRE,HOMOLOGACIÓN
5.0,PSI150,PSICOLOGÍA II,SEGUNDO SEMESTRE,PSI 212,PSICOLOGÍA II,SEGUNDO SEMESTRE,HOMOLOGACIÓN
5.0,BIO200,NEUROPSICOLOGÍA I,TERCER SEMESTRE,BIO 343,NEUROPSICOLOGÍA I,TERCER SEMESTRE,HOMOLOGACIÓN
2.0,CSO200,PSICOLOGÍA SOCIAL,TERCER SEMESTRE,CSO 525,PSICOLOGÍA SOCIAL,QUINTO SEMESTRE,HOMOLOGACIÓN
3.0,CSO201,PSICOLOGIA ETNOECOLÓGICA,TERCER SEMESTRE,OPT 009,ETNOPSICOLOGÍA,ELECTIVA,HOMOLOGACIÓN
1.0,INV200,INVESTIGACIÓN I,TERCER SEMESTRE,INV 232,REDACCIÓN CIENTÍFICA,SEGUNDO SEMESTRE,HOMOLOGACIÓN
3.0,PSI200,DESARROLLO HUMANO I,TERCER SEMESTRE,PSI 213,DESARROLLO HUMANO I,SEGUNDO SEMESTRE,HOMOLOGACIÓN
6.0,PSI202,APRENDIZAJE,TERCER SEMESTRE,PSI 314,ANÁLISIS EXPERIMENTAL DE LA CONDUCTA HUMANA,TERCER SEMESTRE,CONVALIDACIÓN
4.0,PSI203,TEORIAS Y SISTEMAS I,TERCER SEMESTRE,PSI 314,ANÁLISIS EXPERIMENTAL DE LA CONDUCTA HUMANA,TERCER SEMESTRE,HOMOLOGACIÓN
5.0,BIO250,NEUROPSICOLOGÍA II,CUARTO SEMESTRE,BIO 444,NEUROPSICOLOGÍA II,CUARTO SEMESTRE,HOMOLOGACIÓN
2.0,CSO250,PSICOLOGÍA GRUPAL Y ORGANIZACIONAL,CUARTO SEMESTRE,CSO 524,PSICOLOGÍA DE LOS GRUPOS,QUINTO SEMESTRE,HOMOLOGACIÓN
1.0,INV250,INVESTIGACIÓN II,CUARTO SEMESTRE,INV 232,REDACCIÓN CIENTÍFICA,SEGUNDO SEMESTRE,HOMOLOGACIÓN
3.0,PSI254,DESARROLLO HUMANO II,CUARTO SEMESTRE,PSI 311,DESARROLLO HUMANO II,TERCER SEMESTRE,HOMOLOGACIÓN
6.0,PSI255,ETOLOGÍA,CUARTO SEMESTRE,,,,ELIMINADA
4.0,PSI256,TEORIAS Y SISTEMAS II,CUARTO SEMESTRE,,,,ELIMINADA
2.0,CSO300,COMPORTAMIENTO Y SOCIEDAD,QUINTO SEMESTRE,CSO 425,COMPORTAMIENTO Y SOCIEDAD,CUARTO SEMESTRE,HOMOLOGACIÓN
1.0,INV300,INVESTIGACIÓN III,QUINTO SEMESTRE,INV 633,MÉTODOS DE INVESTIGACIÓN CUANTITATIVA,SEXTO SEMESTRE,HOMOLOGACIÓN
3.0,PSI310,PSICOLOGÍA DE LA PERSONALIDAD I,QUINTO SEMESTRE,,,,ELIMINADA
