ORDEN,SIGLA,ASIGNATURA,SEMESTRE,SIGLA.1,ASIGNATURA.1,SEMESTRE.1,OBSERVACIÓN
,PSI556,SALUD MENTAL COMUNITARIA,TALLER,,,,ELIMINADA
,PSI557,PSICOLOGÍA DE LA COMUNICACIÓN,TALLER,,,,ELIMINADA
,PSI558,TÉCNICAS DE CONCILIACIÓN,TALLER,,,,ELIMINADA
,PSI559,TERAPIA ROGERIANA,TALLER,PSI 416,PSICOLOGÍA HUMANÍSTICA,CUARTO SEMESTRE,CONVALIDACIÓN
,PSI560,PSICODRAMA,TALLER,,,,ELIMINADA
,PSI561,PSICOLOGÍA POSITIVA,TALLER,,,,ELIMINADA
,PSI562,DIFICULTADES DE APRENDIZAJE,TALLER,,,,ELIMINADA
,PSI563,PSICOFARMACOLOGÍA,TALLER,,,,ELIMINADA
,PSI564,PSICOHIGIENE,TALLER,,,,ELIMINADA
,PSI565,ORIENTACIÓN VOCACIONAL,TALLER,,,,ELIMINADA
,PSI566,PSICOLOGÍA DE LA SEXUALIDAD,TALLER,OPT 008,PSICOLOGÍA DE LA SEXUALIDAD,ELECTIVA,HOMOLOGACIÓN
,PSI567,PSICOLOGIA ORGANIZACIONAL,TALLER,,,,ELIMINADA
,PSI568,EDUCACIÓN ESPECIAL,TALLER,OPT 003,EDUCACIÓN ESPECIAL,ELECTIVA,HOMOLOGACIÓN
,PSI569,PSICOLOGÍA DEL DEPORTE,TALLER,,,,ELIMINADA
,SCA204,SOCIOLOGÍA DE LA SALUD,TALLER,,,,ELIMINADA
,SCA205,GÉNERO Y DESARROLLO,TALLER,OPT 001,PSICOLOGÍA DE LA SALUD,ELECTIVA,CONVALIDACIÓN
,SUI201,TEORÍA DEL CONFLICTO SOCIAL,TALLER,,,,ELIMINADA
,SUI302,ECOLOGÍA SOCIAL,TALLER,,,,ELIMINADA
,,,,PPP 100,PRÁCTICA PRE PROFESIONAL,NOVENO SEMESTRE,NUEVA
,,,,BIO 523,PSICOLINGUISTICA,QUINTO SEMESTRE,NUEVA
