sigla,prerequisito
CSO 726,PSI 634
INV 734,INV 633
PSI 816,PSI 517
PSI 815,PSI 612
PSI 817,PSI 712
PSI 813,PSI 719
PSI 811,PSI 714
CSO 827,CSO 726
INV 835,INV 734
PSI 912,PSI 816
PSI 918,PSI 815
PSI 913,PSI 817
PSI 914,PSI 816
INV 936,INV 835
INV 915,INV 835
PSI 916,PSI 611
PPP 100,8VO SEM.CONCLUIDO EN SU TOTALIDAD
GRL 001,9NO SEM.CONCLUIDO EN SU TOTALIDAD
GDI 001,9NO SEM.CONCLUIDO EN SU TOTALIDAD
OPT 001,PSI 611
OPT 002,ANT 181
OPT 003,BIO 444
OPT 004,CSO 121
OPT 005,INV 232
OPT 006,CSO 524
OPT 007,OPT 006
OPT 008,PSI 611
OPT 009,CSO 222
OPT 010,PSI 611
OPT 011,PSI 816
